t,x(t),v(t),p(t),eKin(t),eSpr(t)
0.06419998,-2.975533,0.7611439,7.611439,2.8967,0
0.06479998,-2.975073,0.7682852,7.682852,2.951311,0
0.06539998,-2.974607,0.7754254,7.754254,3.006423,0
0.06599998,-2.974138,0.7825645,7.825644,3.062036,0
0.06659999,-2.973664,0.7897024,7.897024,3.11815,0
0.06719999,-2.973186,0.7968392,7.968392,3.174764,0
0.06779999,-2.972704,0.8039749,8.039749,3.231878,0
0.0684,-2.972217,0.8111094,8.111094,3.289492,0
0.069,-2.971726,0.8182427,8.182426,3.347605,0
0.0696,-2.971231,0.8253748,8.253748,3.406218,0
0.0702,-2.970732,0.8325058,8.325058,3.46533,0
0.07080001,-2.970228,0.8396356,8.396356,3.52494,0
0.07140001,-2.96972,0.8467641,8.467641,3.585047,0
0.07200001,-2.969208,0.8538914,8.538915,3.645653,0
0.07260001,-2.968691,0.8610175,8.610175,3.706756,0
0.07320002,-2.96817,0.8681424,8.681423,3.768356,0
0.07380002,-2.967645,0.875266,8.75266,3.830452,0
0.07440002,-2.967115,0.8823883,8.823883,3.893045,0
0.07500003,-2.966581,0.8895094,8.895094,3.956135,0
0.07560003,-2.966043,0.8966292,8.966291,4.019719,0
0.07620003,-2.965501,0.9037477,9.037477,4.083799,0
0.07680003,-2.964955,0.9108649,9.108649,4.148374,0
0.07740004,-2.964404,0.9179808,9.179808,4.213444,0
0.07800004,-2.963849,0.9250954,9.250954,4.279007,0
0.07860004,-2.96329,0.9322086,9.322086,4.345065,0
0.07920004,-2.962726,0.9393205,9.393205,4.411615,0
0.07980005,-2.962158,0.946431,9.464311,4.478659,0
0.08040005,-2.961586,0.9535402,9.535402,4.546195,0
0.08100005,-2.96101,0.960648,9.60648,4.614223,0
0.08160006,-2.960429,0.9677544,9.677545,4.682743,0
0.08220006,-2.959844,0.9748595,9.748594,4.751755,0
0.08280006,-2.959255,0.9819631,9.819631,4.821258,0
0.08340006,-2.958662,0.9890653,9.890653,4.891251,0
0.08400007,-2.958064,0.9961661,9.96166,4.961734,0
0.08460007,-2.957462,1.003265,10.03265,5.032707,0
0.08520007,-2.956856,1.010363,10.10363,5.10417,0
0.08580007,-2.956245,1.01746,10.1746,5.176122,0
0.08640008,-2.95563,1.024555,10.24555,5.248562,0
0.08700008,-2.955011,1.031648,10.31648,5.321491,0
0.08760008,-2.954388,1.03874,10.3874,5.394907,0
0.08820008,-2.953761,1.045831,10.45831,5.468811,0
0.08880009,-2.953129,1.05292,10.5292,5.543201,0
0.08940009,-2.952493,1.060007,10.60007,5.618077,0
0.09000009,-2.951853,1.067093,10.67093,5.693441,0
0.0906001,-2.951208,1.074178,10.74178,5.76929,0
0.0912001,-2.950559,1.081261,10.81261,5.845625,0
0.0918001,-2.949906,1.088342,10.88342,5.922444,0
0.0924001,-2.949249,1.095422,10.95422,5.999746,0
0.09300011,-2.948587,1.1025,11.025,6.077532,0
0.09360011,-2.947922,1.109577,11.09577,6.155802,0
0.09420011,-2.947252,1.116652,11.16652,6.234556,0
0.09480011,-2.946578,1.123725,11.23725,6.313791,0
0.09540012,-2.945899,1.130797,11.30797,6.393508,0
0.09600012,-2.945216,1.137867,11.37867,6.473708,0
0.09660012,-2.944529,1.144936,11.44936,6.554388,0
0.09720013,-2.943838,1.152002,11.52002,6.635549,0
