t,x(t),v(t),p(t),eKin(t),eSpr(t), a(t), F_Feder(t)
0.001,-3,0,0,0,0,0,120
0.002,-2.999988,0.012,0.12,0.00072,0,12,119.9995
0.003,-2.999964,0.02399995,0.2399995,0.002879989,0,11.99995,119.9986
0.004,-2.999928,0.03599981,0.3599981,0.006479932,0,11.99986,119.9971
0.005,-2.99988,0.04799952,0.4799953,0.01151977,0,11.99971,119.9952
0.006000001,-2.99982,0.05999904,0.5999904,0.01799943,0,11.99952,119.9928
0.007000001,-2.999748,0.07199833,0.7199833,0.0259188,0,11.99928,119.9899
0.008,-2.999664,0.08399732,0.8399732,0.03527775,0,11.999,119.9866
0.009000001,-2.999568,0.09599598,0.9599597,0.04607614,0,11.99865,119.9827
0.01,-2.99946,0.1079943,1.079942,0.05831379,0,11.99827,119.9784
0.011,-2.99934,0.1199921,1.199921,0.07199051,0,11.99784,119.9736
0.012,-2.999208,0.1319894,1.319895,0.08710607,0,11.99736,119.9683
0.013,-2.999064,0.1439863,1.439863,0.1036603,0,11.99683,119.9626
0.014,-2.998908,0.1559825,1.559825,0.1216528,0,11.99625,119.9563
0.015,-2.99874,0.1679782,1.679782,0.1410833,0,11.99563,119.9496
0.016,-2.99856,0.1799731,1.799731,0.1619516,0,11.99496,119.9424
0.017,-2.998368,0.1919674,1.919674,0.1842573,0,11.99424,119.9347
0.018,-2.998164,0.2039608,2.039608,0.2080001,0,11.99347,119.9266
0.019,-2.997948,0.2159535,2.159535,0.2331796,0,11.99266,119.9179
0.02,-2.99772,0.2279453,2.279453,0.2597953,0,11.9918,119.9088
0.021,-2.99748,0.2399362,2.399362,0.2878468,0,11.99087,119.8992
0.022,-2.997228,0.2519261,2.519261,0.3173338,0,11.98992,119.8891
0.023,-2.996964,0.263915,2.63915,0.3482556,0,11.98891,119.8786
0.024,-2.996689,0.2759029,2.759029,0.380612,0,11.98786,119.8675
0.025,-2.996401,0.2878896,2.878896,0.4144022,0,11.98676,119.856
0.026,-2.996101,0.2998752,2.998752,0.4496258,0,11.9856,119.844
0.027,-2.995789,0.3118596,3.118596,0.4862822,0,11.98441,119.8316
0.028,-2.995465,0.3238428,3.238428,0.5243708,0,11.98316,119.8186
0.029,-2.995129,0.3358247,3.358247,0.5638911,0,11.98187,119.8052
0.03,-2.994781,0.3478052,3.478052,0.6048422,0,11.9805,119.7913
0.031,-2.994422,0.3597843,3.597843,0.6472237,0,11.97913,119.7769
0.032,-2.99405,0.371762,3.71762,0.6910349,0,11.97767,119.762
0.033,-2.993666,0.3837382,3.837382,0.736275,0,11.97621,119.7466
0.034,-2.99327,0.3957129,3.957129,0.7829433,0,11.97466,119.7308
0.035,-2.992863,0.4076859,4.076859,0.8310391,0,11.97308,119.7145
0.03599999,-2.992443,0.4196574,4.196574,0.8805615,0,11.97144,119.6977
0.03699999,-2.992012,0.4316272,4.316272,0.93151,0,11.96977,119.6805
0.03799999,-2.991568,0.4435952,4.435952,0.9838835,0,11.96805,119.6627
0.03899999,-2.991112,0.4555615,4.555614,1.037681,0,11.96626,119.6445
0.03999999,-2.990645,0.4675259,4.675259,1.092902,0,11.96444,119.6258
0.04099999,-2.990165,0.4794885,4.794885,1.149546,0,11.96259,119.6066
0.04199998,-2.989674,0.4914491,4.914492,1.207611,0,11.96066,119.587
