t,x(t),v(t),p(t),eKin(t),eSpr(t), a(t), F_Feder(t)
0.04299998,-2.989171,0.5034078,5.034079,1.267097,0,11.95869,119.5668
0.04399998,-2.988655,0.5153645,5.153646,1.328003,0,11.95669,119.5462
0.04499998,-2.988128,0.5273191,5.273191,1.390327,0,11.95461,119.5251
0.04599998,-2.987588,0.5392717,5.392716,1.45407,0,11.95252,119.5035
0.04699998,-2.987037,0.551222,5.51222,1.519229,0,11.95037,119.4815
0.04799997,-2.986474,0.5631702,5.631702,1.585803,0,11.94817,119.459
0.04899997,-2.985899,0.5751161,5.751161,1.653793,0,11.9459,119.436
0.04999997,-2.985312,0.5870597,5.870597,1.723195,0,11.94358,119.4125
0.05099997,-2.984713,0.5990009,5.990009,1.794011,0,11.94125,119.3885
0.05199997,-2.984102,0.6109398,6.109398,1.866237,0,11.93887,119.3641
0.05299997,-2.983479,0.6228762,6.228762,1.939874,0,11.93643,119.3392
0.05399996,-2.982844,0.6348101,6.348102,2.01492,0,11.93392,119.3138
0.05499996,-2.982198,0.6467415,6.467415,2.091373,0,11.93136,119.2879
0.05599996,-2.981539,0.6586703,6.586703,2.169233,0,11.9288,119.2616
0.05699996,-2.980868,0.6705965,6.705965,2.248498,0,11.92617,119.2347
0.05799996,-2.980186,0.68252,6.8252,2.329168,0,11.92349,119.2074
0.05899996,-2.979491,0.6944407,6.944407,2.41124,0,11.92075,119.1796
0.05999995,-2.978785,0.7063587,7.063587,2.494713,0,11.91795,119.1514
0.06099995,-2.978066,0.7182738,7.182738,2.579587,0,11.91515,119.1227
0.06199995,-2.977336,0.7301861,7.301861,2.665859,0,11.91229,119.0934
0.06299995,-2.976594,0.7420955,7.420955,2.753528,0,11.90936,119.0638
0.06399995,-2.97584,0.7540019,7.540019,2.842594,0,11.90638,119.0336
0.06499995,-2.975074,0.7659052,7.659052,2.933054,0,11.90335,119.003
0.06599995,-2.974296,0.7778055,7.778055,3.024907,0,11.9003,118.9718
0.06699996,-2.973506,0.7897027,7.897027,3.118152,0,11.89721,118.9403
0.06799996,-2.972705,0.8015968,8.015967,3.212787,0,11.89405,118.9082
0.06899996,-2.971891,0.8134876,8.134876,3.30881,0,11.89083,118.8757
0.06999996,-2.971066,0.8253751,8.253752,3.406221,0,11.88755,118.8426
0.07099997,-2.970229,0.8372594,8.372594,3.505017,0,11.88427,118.8091
0.07199997,-2.969379,0.8491403,8.491404,3.605197,0,11.88093,118.7752
0.07299997,-2.968518,0.8610179,8.610179,3.706759,0,11.87754,118.7407
0.07399997,-2.967646,0.872892,8.72892,3.809702,0,11.87408,118.7058
0.07499997,-2.966761,0.8847625,8.847626,3.914024,0,11.87056,118.6704
0.07599998,-2.965864,0.8966296,8.966295,4.019723,0,11.86705,118.6346
0.07699998,-2.964956,0.908493,9.08493,4.126798,0,11.86347,118.5982
0.07799998,-2.964036,0.9203529,9.203528,4.235247,0,11.85983,118.5614
0.07899998,-2.963103,0.932209,9.32209,4.345068,0,11.85614,118.5241
0.07999998,-2.962159,0.9440614,9.440614,4.45626,0,11.85238,118.4864
0.08099999,-2.961203,0.95591,9.5591,4.56882,0,11.84863,118.4481
0.08199999,-2.960236,0.9677548,9.677548,4.682747,0,11.84481,118.4094
0.08299999,-2.959256,0.9795958,9.795958,4.798039,0,11.84094,118.3702
0.08399999,-2.958265,0.9914328,9.914328,4.914695,0,11.837,118.3306
0.08499999,-2.957261,1.003266,10.03266,5.032712,0,11.83307,118.2905
0.086,-2.956246,1.015095,10.15095,5.152088,0,11.82902,118.2498
0.087,-2.955219,1.02692,10.2692,5.272822,0,11.82496,118.2088
0.088,-2.95418,1.038741,10.38741,5.394912,0,11.82091,118.1672
0.089,-2.95313,1.050557,10.50558,5.518355,0,11.81674,118.1252
0.09,-2.952068,1.06237,10.6237,5.643151,0,11.81257,118.0827
0.09100001,-2.950994,1.074178,10.74178,5.769296,0,11.80828,118.0397
0.09200001,-2.949908,1.085982,10.85982,5.896788,0,11.80398,117.9963
0.09300001,-2.94881,1.097782,10.97782,6.025625,0,11.79957,117.9524
0.09400001,-2.9477,1.109577,11.09577,6.155807,0,11.79528,117.908
0.09500001,-2.946579,1.121368,11.21368,6.287331,0,11.79075,117.8632
0.09600002,-2.945446,1.133154,11.33154,6.420193,0,11.78634,117.8178
0.09700002,-2.944301,1.144936,11.44936,6.554393,0,11.78181,117.772
0.09800002,-2.943144,1.156713,11.56713,6.689928,0,11.77716,117.7258
0.09900002,-2.941976,1.168486,11.68486,6.826797,0,11.77263,117.679
0.1,-2.940795,1.180254,11.80254,6.964994,0,11.76786,117.6318
0.101,-2.939603,1.192017,11.92017,7.104522,0,11.76321,117.5841
0.102,-2.9384,1.203775,12.03775,7.245376,0,11.75845,117.536
0.103,-2.937184,1.215529,12.15529,7.387553,0,11.75356,117.4874
0.104,-2.935957,1.227278,12.27278,7.531054,0,11.74879,117.4383
0.105,-2.934718,1.239022,12.39021,7.675872,0,11.74378,117.3887
0.106,-2.933467,1.25076,12.5076,7.822008,0,11.7389,117.3387
0.107,-2.932204,1.262494,12.62494,7.96946,0,11.73389,117.2882
0.108,-2.93093,1.274223,12.74223,8.118222,0,11.72876,117.2372
0.109,-2.929644,1.285947,12.85947,8.268297,0,11.72376,117.1858
0.11,-2.928347,1.297665,12.97666,8.419678,0,11.71863,117.1339
0.111,-2.927037,1.309379,13.09379,8.572365,0,11.71338,117.0815
0.112,-2.925716,1.321087,13.21087,8.726355,0,11.70814,117.0286
0.1130001,-2.924383,1.33279,13.3279,8.881644,0,11.70289,116.9753
0.1140001,-2.923039,1.344487,13.44487,9.038232,0,11.69753,116.9216
0.1150001,-2.921683,1.35618,13.5618,9.196115,0,11.69217,116.8673
0.1160001,-2.920315,1.367866,13.67866,9.35529,0,11.68668,116.8126
0.1170001,-2.918936,1.379548,13.79548,9.515758,0,11.68132,116.7574
0.1180001,-2.917544,1.391223,13.91223,9.677511,0,11.67571,116.7018
0.1190001,-2.916142,1.402894,14.02894,9.840551,0,11.67023,116.6457
0.1200001,-2.914727,1.414558,14.14558,10.00487,0,11.66451,116.5891
0.1210001,-2.913301,1.426217,14.26217,10.17047,0,11.65891,116.532
0.1220001,-2.911863,1.43787,14.3787,10.33735,0,11.65318,116.4745
0.1230001,-2.910413,1.449518,14.49518,10.50551,0,11.64746,116.4165
0.1240001,-2.908952,1.461159,14.61159,10.67493,0,11.64162,116.3581
0.1250001,-2.907479,1.472795,14.72795,10.84562,0,11.63578,116.2992
0.1260001,-2.905995,1.484425,14.84425,11.01759,0,11.62994,116.2398
0.1270001,-2.904499,1.496049,14.96049,11.19081,0,11.62398,116.18
0.1280001,-2.902991,1.507667,15.07667,11.3653,0,11.61802,116.1196
0.1290001,-2.901472,1.519279,15.19279,11.54104,0,11.61194,116.0589
0.1300001,-2.899941,1.530885,15.30885,11.71804,0,11.60586,115.9976
0.1310001,-2.898398,1.542485,15.42484,11.89629,0,11.59978,115.9359
0.1320001,-2.896844,1.554078,15.54078,12.07579,0,11.59358,115.8738
0.1330001,-2.895279,1.565665,15.65665,12.25654,0,11.58738,115.8111
0.1340001,-2.893702,1.577247,15.77247,12.43853,0,11.58106,115.7481
0.1350001,-2.892113,1.588821,15.88821,12.62177,0,11.57486,115.6845
0.1360001,-2.890512,1.60039,16.0039,12.80624,0,11.56843,115.6205
0.1370001,-2.8889,1.611952,16.11952,12.99194,0,11.56199,115.556
0.1380001,-2.887277,1.623507,16.23507,13.17888,0,11.55555,115.4911
0.1390001,-2.885642,1.635056,16.35056,13.36705,0,11.54911,115.4257
0.1400001,-2.883995,1.646599,16.46599,13.55644,0,11.54256,115.3598
0.1410001,-2.882337,1.658135,16.58135,13.74706,0,11.536,115.2935
0.1420001,-2.880667,1.669664,16.69664,13.9389,0,11.52933,115.2267
0.1430001,-2.878986,1.681187,16.81187,14.13195,0,11.52265,115.1595
0.1440001,-2.877294,1.692703,16.92703,14.32622,0,11.51597,115.0917
0.1450001,-2.875589,1.704212,17.04212,14.5217,0,11.50918,115.0236
0.1460001,-2.873874,1.715715,17.15715,14.71838,0,11.50238,114.9549
0.1470001,-2.872147,1.72721,17.2721,14.91627,0,11.49547,114.8859
0.1480001,-2.870408,1.738699,17.38699,15.11536,0,11.48856,114.8163
0.1490001,-2.868658,1.75018,17.5018,15.31565,0,11.48164,114.7463
0.1500001,-2.866896,1.761655,17.61655,15.51714,0,11.47461,114.6758
0.1510001,-2.865123,1.773122,17.73122,15.71982,0,11.46758,114.6049
0.1520001,-2.863338,1.784583,17.84583,15.92368,0,11.46054,114.5335
0.1530001,-2.861542,1.796036,17.96036,16.12873,0,11.45339,114.4617
0.1540001,-2.859735,1.807482,18.07483,16.33496,0,11.44612,114.3894
0.1550001,-2.857916,1.818921,18.18921,16.54238,0,11.43896,114.3166
0.1560001,-2.856086,1.830353,18.30353,16.75096,0,11.43169,114.2434
0.1570001,-2.854244,1.841777,18.41777,16.96072,0,11.4243,114.1698
0.1580001,-2.852391,1.853194,18.53194,17.17165,0,11.41703,114.0956
0.1590001,-2.850526,1.864604,18.64604,17.38374,0,11.40952,114.021
0.1600001,-2.84865,1.876006,18.76006,17.59699,0,11.40213,113.946
0.1610001,-2.846762,1.887401,18.87401,17.81141,0,11.39462,113.8705
0.1620001,-2.844864,1.898788,18.98788,18.02697,0,11.38699,113.7945
0.1630002,-2.842953,1.910167,19.10167,18.24369,0,11.37948,113.7181
0.1640002,-2.841032,1.921539,19.21539,18.46156,0,11.37185,113.6413
0.1650002,-2.839099,1.932903,19.32903,18.68057,0,11.3641,113.564
0.1660002,-2.837155,1.94426,19.44259,18.90073,0,11.35635,113.4862
0.1670002,-2.835199,1.955608,19.55608,19.12201,0,11.3486,113.408
0.1680002,-2.833232,1.966949,19.66949,19.34444,0,11.34086,113.3293
0.1690002,-2.831254,1.978282,19.78282,19.568,0,11.33299,113.2502
0.1700002,-2.829264,1.989607,19.89607,19.79268,0,11.325,113.1706
0.1710002,-2.827263,2.000924,20.00924,20.01849,0,11.31713,113.0905
0.1720002,-2.825251,2.012233,20.12233,20.24541,0,11.30915,113.01
0.1730002,-2.823228,2.023534,20.23534,20.47346,0,11.30104,112.9291
0.1740002,-2.821193,2.034827,20.34827,20.70261,0,11.29293,112.8477
0.1750002,-2.819147,2.046112,20.46112,20.93287,0,11.28483,112.7659
0.1760002,-2.817089,2.057389,20.57388,21.16424,0,11.27648,112.6836
0.1770002,-2.815021,2.068657,20.68657,21.39671,0,11.26838,112.6008
0.1780002,-2.812941,2.079917,20.79917,21.63027,0,11.26003,112.5176
0.1790002,-2.810849,2.091169,20.91169,21.86493,0,11.25169,112.434
0.1800002,-2.808747,2.102412,21.02412,22.10068,0,11.24334,112.3499
0.1810002,-2.806633,2.113647,21.13647,22.33752,0,11.235,112.2653
0.1820002,-2.804509,2.124874,21.24874,22.57544,0,11.22665,112.1803
0.1830002,-2.802373,2.136092,21.36092,22.81444,0,11.21807,112.0949
0.1840002,-2.800225,2.147301,21.47301,23.05451,0,11.20949,112.009
0.1850002,-2.798067,2.158502,21.58502,23.29566,0,11.2009,111.9227
0.1860002,-2.795897,2.169694,21.69695,23.53787,0,11.19232,111.8359
0.1870002,-2.793717,2.180878,21.80878,23.78114,0,11.1835,111.7487
0.1880002,-2.791525,2.192053,21.92053,24.02548,0,11.17492,111.661
0.1890002,-2.789321,2.203219,22.03219,24.27087,0,11.16609,111.5729
0.1900002,-2.787107,2.214376,22.14376,24.51731,0,11.15727,111.4843
0.1910002,-2.784881,2.225525,22.25525,24.7648,0,11.14845,111.3953
0.1920002,-2.782645,2.236664,22.36664,25.01333,0,11.13963,111.3058
0.1930002,-2.780397,2.247795,22.47795,25.26291,0,11.13057,111.2159
0.1940002,-2.778138,2.258916,22.58916,25.51352,0,11.12151,111.1255
0.1950002,-2.775868,2.270029,22.70029,25.76515,0,11.11245,111.0347
0.1960002,-2.773587,2.281132,22.81132,26.01782,0,11.10339,110.9435
0.1970002,-2.771295,2.292227,22.92227,26.27151,0,11.09433,110.8518
0.1980002,-2.768991,2.303312,23.03312,26.52623,0,11.08527,110.7597
0.1990002,-2.766677,2.314388,23.14388,26.78196,0,11.07597,110.6671
0.2000002,-2.764351,2.325454,23.25455,27.03869,0,11.06667,110.5741
0.2010002,-2.762015,2.336512,23.36512,27.29644,0,11.05738,110.4806
0.2020002,-2.759667,2.34756,23.4756,27.55519,0,11.04808,110.3867
0.2030002,-2.757309,2.358599,23.58599,27.81494,0,11.03878,110.2924
0.2040002,-2.754939,2.369628,23.69628,28.07568,0,11.02924,110.1976
0.2050002,-2.752558,2.380648,23.80648,28.33742,0,11.01971,110.1023
0.2060002,-2.750167,2.391658,23.91658,28.60014,0,11.01017,110.0067
0.2070002,-2.747764,2.402658,24.02658,28.86384,0,11.00063,109.9106
0.2080002,-2.745351,2.41365,24.1365,29.12852,0,10.9911,109.814
0.2090002,-2.742926,2.424631,24.24631,29.39417,0,10.98132,109.717
0.2100002,-2.74049,2.435603,24.35603,29.6608,0,10.97178,109.6196
0.2110002,-2.738044,2.446565,24.46565,29.92839,0,10.96201,109.5217
0.2120003,-2.735586,2.457517,24.57517,30.19695,0,10.95223,109.4234
0.2130003,-2.733118,2.468459,24.68459,30.46646,0,10.94246,109.3247
0.2140003,-2.730638,2.479392,24.79392,30.73692,0,10.93244,109.2255
0.2150003,-2.728148,2.490314,24.90314,31.00833,0,10.92267,109.1259
0.2160003,-2.725647,2.501227,25.01227,31.28069,0,10.91266,109.0259
0.2170003,-2.723135,2.51213,25.1213,31.55398,0,10.90264,108.9254
0.2180003,-2.720612,2.523022,25.23022,31.82821,0,10.89263,108.8245
0.2190003,-2.718078,2.533905,25.33905,32.10337,0,10.88238,108.7231
0.2200003,-2.715533,2.544777,25.44777,32.37945,0,10.87236,108.6213
0.2210003,-2.712977,2.555639,25.55639,32.65646,0,10.86211,108.5191
0.2220003,-2.710411,2.566491,25.66491,32.93438,0,10.85186,108.4164
0.2230003,-2.707833,2.577333,25.77333,33.21322,0,10.84161,108.3133
0.2240003,-2.705245,2.588164,25.88164,33.49297,0,10.83136,108.2098
0.2250003,-2.702646,2.598985,25.98985,33.77361,0,10.82086,108.1058
0.2260003,-2.700036,2.609796,26.09796,34.05516,0,10.81061,108.0014
0.2270003,-2.697416,2.620596,26.20596,34.33761,0,10.80012,107.8966
0.2280003,-2.694784,2.631385,26.31385,34.62094,0,10.78963,107.7914
0.2290003,-2.692142,2.642164,26.42164,34.90516,0,10.77914,107.6857
0.2300003,-2.689489,2.652933,26.52933,35.19027,0,10.76865,107.5796
0.2310003,-2.686826,2.663691,26.63691,35.47625,0,10.75792,107.473
0.2320003,-2.684151,2.674438,26.74438,35.7631,0,10.74719,107.366
0.2330003,-2.681466,2.685175,26.85175,36.05082,0,10.7367,107.2586
0.2340003,-2.67877,2.695901,26.95901,36.33941,0,10.72597,107.1508
0.2350003,-2.676064,2.706616,27.06616,36.62885,0,10.71501,107.0425
0.2360003,-2.673347,2.71732,27.1732,36.91914,0,10.70428,106.9339
0.2370003,-2.670619,2.728014,27.28014,37.21029,0,10.69331,106.8247
0.2380003,-2.66788,2.738696,27.38696,37.50228,0,10.68258,106.7152
0.2390003,-2.66513,2.749368,27.49368,37.79511,0,10.67161,106.6052
0.2400003,-2.66237,2.760028,27.60028,38.08878,0,10.66041,106.4948
0.2410003,-2.6596,2.770678,27.70678,38.38327,0,10.64944,106.384
0.2420003,-2.656818,2.781316,27.81316,38.67859,0,10.63847,106.2727
0.2430003,-2.654027,2.791943,27.91943,38.97474,0,10.62727,106.1611
0.2440003,-2.651224,2.802559,28.02559,39.27169,0,10.61606,106.049
0.2450003,-2.648411,2.813164,28.13164,39.56947,0,10.60486,105.9364
0.2460003,-2.645587,2.823758,28.23758,39.86804,0,10.59365,105.8235
0.2470003,-2.642753,2.83434,28.3434,40.16743,0,10.58245,105.7101
0.2480003,-2.639908,2.844911,28.44911,40.4676,0,10.571,105.5963
0.2490003,-2.637052,2.855471,28.55471,40.76857,0,10.55956,105.4821
0.2500003,-2.634186,2.866019,28.66019,41.07032,0,10.54811,105.3674
0.2510003,-2.63131,2.876556,28.76556,41.37286,0,10.53667,105.2524
0.2520003,-2.628423,2.887081,28.87081,41.67618,0,10.52523,105.1369
0.2530003,-2.625525,2.897595,28.97595,41.98028,0,10.51378,105.021
0.2540003,-2.622617,2.908097,29.08097,42.28513,0,10.5021,104.9047
0.2550003,-2.619699,2.918587,29.18587,42.59076,0,10.49042,104.7879
0.2560003,-2.61677,2.929066,29.29066,42.89714,0,10.47873,104.6708
0.2570002,-2.61383,2.939533,29.39533,43.20427,0,10.46705,104.5532
0.2580002,-2.61088,2.949988,29.49988,43.51216,0,10.45537,104.4352
0.2590002,-2.60792,2.960432,29.60432,43.82078,0,10.44345,104.3168
0.2600002,-2.604949,2.970864,29.70864,44.13015,0,10.43177,104.198
0.2610002,-2.601968,2.981283,29.81283,44.44025,0,10.41984,104.0787
0.2620002,-2.598976,2.991691,29.91691,44.75109,0,10.40792,103.959
0.2630002,-2.595974,3.002087,30.02087,45.06264,0,10.396,103.839
0.2640001,-2.592962,3.012471,30.12471,45.37491,0,10.38384,103.7185
0.2650001,-2.589939,3.022843,30.22843,45.6879,0,10.37192,103.5975
0.2660001,-2.586905,3.033203,30.33203,46.00159,0,10.35976,103.4762
0.2670001,-2.583862,3.04355,30.4355,46.316,0,10.3476,103.3545
0.2680001,-2.580808,3.053886,30.53886,46.6311,0,10.33544,103.2323
0.2690001,-2.577744,3.064209,30.64209,46.94689,0,10.32329,103.1097
0.2700001,-2.574669,3.07452,30.7452,47.26337,0,10.31089,102.9868
0.2710001,-2.571584,3.084819,30.84819,47.58054,0,10.29873,102.8634
0.272,-2.568489,3.095105,30.95105,47.89838,0,10.28633,102.7396
0.273,-2.565384,3.105379,31.05379,48.2169,0,10.27393,102.6154
0.274,-2.562268,3.115641,31.15641,48.53608,0,10.26153,102.4907
0.275,-2.559142,3.12589,31.2589,48.85593,0,10.24914,102.3657
0.276,-2.556006,3.136126,31.36126,49.17644,0,10.2365,102.2402
0.277,-2.55286,3.14635,31.4635,49.4976,0,10.2241,102.1144
0.278,-2.549703,3.156562,31.56562,49.81941,0,10.21147,101.9881
0.279,-2.546536,3.166761,31.66761,50.14186,0,10.19883,101.8615
0.2799999,-2.54336,3.176947,31.76947,50.46496,0,10.18619,101.7344
0.2809999,-2.540172,3.18712,31.8712,50.78867,0,10.17332,101.6069
0.2819999,-2.536975,3.197281,31.97281,51.11302,0,10.16068,101.479
0.2829999,-2.533768,3.207429,32.07429,51.43799,0,10.14781,101.3507
0.2839999,-2.53055,3.217564,32.17564,51.76359,0,10.13517,101.222
0.2849999,-2.527323,3.227686,32.27686,52.08979,0,10.1223,101.0929
0.2859999,-2.524085,3.237795,32.37795,52.41659,0,10.10919,100.9634
0.2869999,-2.520837,3.247892,32.47892,52.744,0,10.09631,100.8335
0.2879998,-2.517579,3.257975,32.57975,53.07201,0,10.08344,100.7032
0.2889998,-2.514311,3.268045,32.68045,53.4006,0,10.07032,100.5724
0.2899998,-2.511033,3.278103,32.78102,53.72978,0,10.05721,100.4413
0.2909998,-2.507745,3.288147,32.88147,54.05954,0,10.0441,100.3098
0.2919998,-2.504447,3.298178,32.98178,54.38988,0,10.03098,100.1779
0.2929998,-2.501138,3.308196,33.08195,54.72079,0,10.01787,100.0455
0.2939998,-2.49782,3.3182,33.182,55.05226,0,10.00452,99.9128
0.2949997,-2.494492,3.328191,33.28191,55.38429,0,9.991169,99.77967
0.2959997,-2.491154,3.338169,33.38169,55.71687,0,9.978056,99.64615
0.2969997,-2.487806,3.348134,33.48134,56.05001,0,9.964705,99.51222
0.2979997,-2.484447,3.358085,33.58085,56.38368,0,9.951115,99.3779
0.2989997,-2.481079,3.368023,33.68023,56.71789,0,9.937763,99.24317
0.2999997,-2.477701,3.377947,33.77947,57.05264,0,9.924412,99.10806
0.3009997,-2.474313,3.387858,33.87858,57.38792,0,9.910822,98.97254
0.3019997,-2.470916,3.397755,33.97755,57.72371,0,9.897232,98.83663
0.3029996,-2.467508,3.407639,34.07639,58.06002,0,9.883642,98.70033
0.3039996,-2.464091,3.417509,34.17509,58.39684,0,9.870052,98.56362
0.3049996,-2.460663,3.427366,34.27365,58.73417,0,9.856462,98.42653
0.3059996,-2.457226,3.437208,34.37208,59.072,0,9.842634,98.28904
0.3069996,-2.453779,3.447037,34.47037,59.41032,0,9.828806,98.15116
0.3079996,-2.450322,3.456852,34.56852,59.74914,0,9.815216,98.01289
0.3089996,-2.446856,3.466654,34.66653,60.08843,0,9.801388,97.87422
0.3099996,-2.443379,3.476441,34.76441,60.4282,0,9.787321,97.73517
0.3109995,-2.439893,3.486214,34.86214,60.76846,0,9.773493,97.59572
0.3119995,-2.436397,3.495974,34.95974,61.10917,0,9.759665,97.45589
0.3129995,-2.432891,3.50572,35.0572,61.45035,0,9.745598,97.31566
0.3139995,-2.429376,3.515451,35.15451,61.79199,0,9.731531,97.17503
0.3149995,-2.425851,3.525169,35.25169,62.13407,0,9.717464,97.03403
0.3159995,-2.422316,3.534872,35.34872,62.4766,0,9.703398,96.89263
0.3169995,-2.418771,3.544561,35.44561,62.81958,0,9.689331,96.75085
0.3179995,-2.415217,3.554236,35.54237,63.16298,0,9.675026,96.60867
0.3189994,-2.411653,3.563897,35.63897,63.50682,0,9.660959,96.46613
0.3199994,-2.408079,3.573544,35.73544,63.85109,0,9.646654,96.32317
0.3209994,-2.404496,3.583176,35.83176,64.19577,0,9.632349,96.17985
0.3219994,-2.400903,3.592794,35.92794,64.54086,0,9.618044,96.03614
0.3229994,-2.397301,3.602398,36.02398,64.88635,0,9.6035,95.89204
0.3239994,-2.393689,3.611987,36.11987,65.23225,0,9.589195,95.74756
0.3249994,-2.390067,3.621562,36.21562,65.57854,0,9.574652,95.60269
0.3259993,-2.386436,3.631122,36.31122,65.92524,0,9.560347,95.45745
0.3269993,-2.382796,3.640668,36.40668,66.27232,0,9.545803,95.31182
0.3279993,-2.379145,3.650199,36.50199,66.61977,0,9.53126,95.16582
0.3289993,-2.375486,3.659716,36.59716,66.96759,0,9.516478,95.01942
0.3299993,-2.371816,3.669218,36.69218,67.31579,0,9.501934,94.87266
0.3309993,-2.368138,3.678705,36.78705,67.66434,0,9.487152,94.7255
0.3319993,-2.36445,3.688177,36.88177,68.01326,0,9.472609,94.57798
0.3329993,-2.360752,3.697635,36.97635,68.36253,0,9.457827,94.43008
0.3339992,-2.357045,3.707078,37.07078,68.71214,0,9.443045,94.28178
0.3349992,-2.353328,3.716506,37.16507,69.0621,0,9.428263,94.13313
0.3359992,-2.349602,3.72592,37.2592,69.41239,0,9.413242,93.98409
0.3369992,-2.345867,3.735318,37.35318,69.76302,0,9.39846,93.83468
0.3379992,-2.342122,3.744702,37.44702,70.11395,0,9.38344,93.68489
0.3389992,-2.338368,3.75407,37.5407,70.46521,0,9.36842,93.53473
0.3399992,-2.334605,3.763423,37.63424,70.81678,0,9.353399,93.38419
0.3409992,-2.330832,3.772762,37.72762,71.16866,0,9.338379,93.23328
0.3419991,-2.32705,3.782085,37.82085,71.52084,0,9.323359,93.082
0.3429991,-2.323259,3.791393,37.91393,71.87331,0,9.3081,92.93034
0.3439991,-2.319458,3.800686,38.00686,72.22609,0,9.293079,92.77832
0.3449991,-2.315648,3.809964,38.09964,72.57913,0,9.277821,92.62592
0.3459991,-2.311829,3.819227,38.19227,72.93246,0,9.262562,92.47315
0.3469991,-2.308,3.828474,38.28474,73.28606,0,9.247303,92.32001
0.3479991,-2.304163,3.837706,38.37706,73.63994,0,9.232044,92.1665
0.3489991,-2.300316,3.846923,38.46923,73.99407,0,9.216547,92.01263
0.349999,-2.296459,3.856124,38.56124,74.34846,0,9.201288,91.85838
0.350999,-2.292594,3.86531,38.6531,74.70309,0,9.185791,91.70377
0.351999,-2.28872,3.87448,38.7448,75.05798,0,9.170294,91.54878
0.352999,-2.284836,3.883635,38.83635,75.4131,0,9.154797,91.39344
0.353999,-2.280943,3.892774,38.92774,75.76845,0,9.139299,91.23773
0.354999,-2.277041,3.901898,39.01898,76.12404,0,9.123802,91.08166
0.355999,-2.27313,3.911006,39.11006,76.47984,0,9.108067,90.92522
0.356999,-2.26921,3.920099,39.20098,76.83586,0,9.092569,90.76842
0.3579989,-2.265281,3.929175,39.29176,77.19209,0,9.076834,90.61125
