t,x(t),v(t)
3.459997,-1.741169,-1.587146
3.479997,-1.772912,-1.587146
3.499997,-1.804655,-1.587146
3.519997,-1.836398,-1.587146
3.539997,-1.868141,-1.587146
3.559997,-1.899884,-1.587146
3.579997,-1.931627,-1.587146
3.599997,-1.96337,-1.587146
3.619997,-1.995113,-1.587146
3.639997,-2.026856,-1.587146
3.659997,-2.058599,-1.587146
3.679997,-2.090341,-1.587146
3.699997,-2.122084,-1.587146
3.719997,-2.153827,-1.587146
3.739997,-2.18557,-1.587146
3.759997,-2.217313,-1.587146
3.779997,-2.249055,-1.587146
3.799997,-2.280798,-1.587146
3.819997,-2.312541,-1.587146
3.839997,-2.344284,-1.587146
3.859997,-2.376027,-1.587146
3.879997,-2.407769,-1.587146
3.899997,-2.439512,-1.587146
3.919997,-2.471255,-1.587146
3.939997,-2.502998,-1.587146
3.959997,-2.534741,-1.587146
3.979997,-2.566483,-1.587146
3.999997,-2.598226,-1.587146
4.019997,-2.629969,-1.587146
4.039997,-2.661712,-1.587146
4.059997,-2.693455,-1.587146
4.079997,-2.725198,-1.587146
4.099997,-2.75694,-1.587146
4.119997,-2.788683,-1.587146
4.139997,-2.820426,-1.587146
4.159997,-2.852169,-1.587146
4.179997,-2.883912,-1.587146
4.199997,-2.915654,-1.587146
4.219997,-2.947397,-1.587146
4.239997,-2.97914,-1.587146
4.259997,-3.010883,-1.587146
4.279997,-3.042626,-1.587146
4.299997,-3.074368,-1.587146
4.319997,-3.106111,-1.587146
4.339997,-3.137854,-1.587146
4.359997,-3.169597,-1.587146
4.379997,-3.20134,-1.587146
4.399997,-3.233083,-1.587146
4.419997,-3.264825,-1.587146
4.439997,-3.296568,-1.587146
4.459997,-3.328311,-1.587146
4.479997,-3.360054,-1.587146
4.499997,-3.391797,-1.587146
4.519997,-3.423539,-1.587146
4.539997,-3.455282,-1.587146
4.559997,-3.487025,-1.587146
4.579997,-3.518768,-1.587146
4.599997,-3.550511,-1.587146
4.619997,-3.582253,-1.587146
4.639997,-3.613996,-1.587146
4.659997,-3.645739,-1.587146
4.679996,-3.677482,-1.587146
4.699996,-3.709225,-1.587146
4.719996,-3.740968,-1.587146
4.739996,-3.77271,-1.587146
4.759996,-3.804453,-1.587146
4.779996,-3.836196,-1.587146
4.799996,-3.867939,-1.587146
4.819996,-3.899682,-1.587146
4.839996,-3.931424,-1.587146
4.859996,-3.963167,-1.587146
4.879996,-3.99491,-1.587146
4.899996,-4.026653,-1.587146
4.919996,-4.058396,-1.587146
4.939996,-4.090139,-1.587146
4.959996,-4.121882,-1.587146
4.979996,-4.153625,-1.587146
4.999996,-4.185368,-1.587146
5.019996,-4.217111,-1.587146
5.039996,-4.248854,-1.587146
5.059996,-4.280597,-1.587146
5.079996,-4.31234,-1.587146
5.099996,-4.344083,-1.587146
5.119996,-4.375826,-1.587146
5.139996,-4.407569,-1.587146
5.159996,-4.439312,-1.587146
5.179996,-4.471056,-1.587146
5.199996,-4.502799,-1.587146
5.219996,-4.534542,-1.587146
5.239996,-4.566285,-1.587146
5.259996,-4.598028,-1.587146
5.279996,-4.629771,-1.587146
5.299996,-4.661514,-1.587146
5.319996,-4.693257,-1.587146
5.339996,-4.725,-1.587146
5.359996,-4.756743,-1.587146
